error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
15.705864728049711	61.80800114953867	True	True	False	False	
15.705864728049711	75.16960157530129	True	True	False	False	
15.705864728049711	91.41970126681093	True	True	False	False	
15.705864728049711	111.18273350618666	True	True	False	False	
15.705864728049711	135.21812102437377	True	True	False	False	
15.705864728049711	164.44945790386396	True	True	False	False	
15.705864728049711	200.0	True	True	False	False	
19.101145030506867	1.5	False	False	False	False	0.008944181436757681
19.101145030506867	1.8242687073822879	False	False	False	False	0.01774195083619534
19.101145030506867	2.2186375444894955	False	False	False	False	0.03248161798177707
19.101145030506867	2.6982606969571097	False	False	False	False	0.0576176838558875
19.101145030506867	3.2815683692122515	False	False	False	False	0.10187413995553185
19.101145030506867	3.9909749913929575	False	False	False	False	0.1873825809448233
19.101145030506867	4.853740525828978	True	True	False	False	
19.101145030506867	5.90301797001537	True	True	False	False	
19.101145030506867	7.179127307876238	True	True	False	False	
19.101145030506867	8.731104862714846	True	True	False	False	
19.101145030506867	10.618587587949342	True	True	False	False	
19.101145030506867	12.914104702195969	True	True	False	False	
19.101145030506867	15.705864728049711	True	True	False	False	
19.101145030506867	19.101145030506867	True	True	False	False	
19.101145030506867	23.23041410288293	True	True	False	False	
19.101145030506867	28.252345004947657	True	True	False	False	
19.101145030506867	34.35991260179622	True	True	False	False	
19.101145030506867	41.787808898564755	True	True	False	False	
19.101145030506867	50.82146141581522	True	True	False	False	
19.101145030506867	61.80800114953867	True	True	False	False	
19.101145030506867	75.16960157530129	True	True	False	False	
19.101145030506867	91.41970126681093	True	True	False	False	
19.101145030506867	111.18273350618666	True	True	False	False	
19.101145030506867	135.21812102437377	True	True	False	False	
19.101145030506867	164.44945790386396	True	True	False	False	
19.101145030506867	200.0	True	True	False	False	
23.23041410288293	1.5	False	False	False	False	0.01349972751460804
23.23041410288293	1.8242687073822879	False	False	False	False	0.027243186638995054
23.23041410288293	2.2186375444894955	False	False	False	False	0.050812006629830764
23.23041410288293	2.6982606969571097	False	False	False	False	0.09264571152277457
23.23041410288293	3.2815683692122515	False	False	False	False	0.17404903408561023
