alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.28	0.40738095238095234	0.014619047619047587	0.4317105234290797	-0.4317105234290797	0.0022089188448787857	0.7683368338230746	0.002874935506980308	False
0.32	0.04523809523809523	0.3727619047619047	0.382892885975112	-0.382892885975112	0.049954758523552925	0.05566063449281908	0.8974881256518503	True
0.32	0.06535714285714285	0.3526428571428571	0.382892885975112	-0.382892885975112	0.04725855445147819	0.09020609746883278	0.5238953438575098	False
0.32	0.08547619047619047	0.33252380952380944	0.382892885975112	-0.382892885975112	0.04456235037940344	0.12689615129660622	0.3511718040623919	False
0.32	0.10559523809523809	0.31240476190476185	0.382892885975112	-0.382892885975112	0.0418661463073287	0.16491548047478125	0.2538642593575734	False
0.32	0.1257142857142857	0.29228571428571426	0.382892885975112	-0.382892885975112	0.039169942235253954	0.20380262851831912	0.1921954712754507	False
0.32	0.14583333333333331	0.2721666666666666	0.382892885975112	-0.382892885975112	0.0364737381631792	0.24327266495805228	0.1499294553683966	False
0.32	0.16595238095238093	0.25204761904761896	0.382892885975112	-0.382892885975112	0.033777534091104455	0.28313917646107756	0.11929657532131648	False
0.32	0.18607142857142855	0.23192857142857137	0.382892885975112	-0.382892885975112	0.031081330019029706	0.32327512167157857	0.09614513439300729	False
0.32	0.20619047619047617	0.21180952380952375	0.382892885975112	-0.382892885975112	0.028385125946954963	0.3635913152033327	0.0780687677621811	False
0.32	0.2263095238095238	0.19169047619047613	0.382892885975112	-0.382892885975112	0.025688921874880217	0.4040237759613656	0.06358269835420947	False
