name	ok	n_turns	j_crit	j_turn	ratio
nu=0.6138,chi=0.567	True	1	0.15623187266359456	0.15592989161285903	0.9980670970296454
nu=0.6138,chi=0.633	True	1	0.14552177100428085	0.14537272822633682	0.9989758042599712
nu=0.6138,chi=0.7	True	1	0.1348632556072287	0.13483688969107696	0.9998044988901311
nu=0.6138,chi=0.767	True	0	0.12426616074164404		
nu=0.6138,chi=0.833	True	0	0.11374000735296044		
nu=0.6138,chi=0.9	True	0	0.10329425291321548		
nu=0.8426,chi=0.1	True	1	0.23110651426413303	0.22784244205475182	0.9858763297098121
nu=0.8426,chi=0.167	True	1	0.21966671348101377	0.21688146011706666	0.9873205488450673
nu=0.8426,chi=0.233	True	1	0.20820701032341032	0.20587173106853746	0.9887838586642906
nu=0.8426,chi=0.3	True	1	0.1967302079425011	0.19483428790364668	0.9903628422971599
nu=0.8426,chi=0.367	True	1	0.18524009059272706	0.18377078936920319	0.9920681251082181
nu=0.8426,chi=0.433	True	1	0.17374074606278642	0.17266685858195774	0.9938190234290775
nu=0.8426,chi=0.5	True	1	0.1622376048269339	0.1614745086895578	0.9952964287275435
nu=0.8426,chi=0.567	True	1	0.15073694369992663	0.15026523549370605	0.9968706529756924
nu=0.8426,chi=0.633	True	1	0.139246302212484	0.139014316811287	0.9983339923753022
nu=0.8426,chi=0.7	True	1	0.1277745095514089	0.12767534315154808	0.9992238952807647
nu=0.8426,chi=0.767	True	0	0.11633208350870494		
nu=0.8426,chi=0.833	True	0	0.10493095081683981		
nu=0.8426,chi=0.9	True	0	0.09358514945392545		
nu=1.156,chi=0.1	True	1	0.23012471050678474	0.22677838628899818	0.9854586488760063
nu=1.156,chi=0.167	True	1	0.218009069935087	0.2151134695825065	0.9867179821764173
nu=1.156,chi=0.233	True	1	0.2058548860326703	0.20337066957803654	0.9879321958175941
nu=1.156,chi=0.3	True	1	0.19366342021717264	0.1915832122699607	0.9892586429338116
nu=1.156,chi=0.367	True	1	0.18143649453722727	0.1797520692364243	0.9907161714896484
nu=1.156,chi=0.433	True	1	0.16917684992678134	0.1678787298624431	0.9923268457540139
nu=1.156,chi=0.5	True	1	0.1568879110323406	0.15593842204144642	0.9939479786259731
nu=1.156,chi=0.567	True	1	0.1445744686631296	0.1439098546057687	0.9954029638600332
nu=1.156,chi=0.633	True	1	0.13224267348944338	0.13184503279676404	0.9969930985045378
nu=1.156,chi=0.7	True	1	0.11990095423025805	0.11971588568563218	0.9984564881421172
nu=1.156,chi=0.767	True	1	0.10756045285874621	0.10749296710904648	0.9993725784160804
nu=1.156,chi=0.833	True	0	0.09523589084207501		
nu=1.156,chi=0.9	True	0	0.08294717482422594		
nu=1.587,chi=0.1	True	1	0.2290335838469511	0.22560191779732158	0.9850167560931907
nu=1.587,chi=0.167	True	1	0.21617510816970364	0.21315304124177611	0.986020282568541
nu=1.587,chi=0.233	True	1	0.20326449387768158	0.20062329787653013	0.9870061123280053
nu=1.587,chi=0.3	True	1	0.19030216144330778	0.18802598527598427	0.9880391470592855
nu=1.587,chi=0.367	True	1	0.17728938487748727	0.17537845779633354	0.989221424156476
nu=1.587,chi=0.433	True	1	0.164227346481097	0.16267088919640302	0.9905225450082205
nu=1.587,chi=0.5	True	1	0.15111868203999435	0.14991333167183948	0.9920238163019721
nu=1.587,chi=0.567	True	1	0.1379672605239763	0.1370962092067548	0.9936865361107166
nu=1.587,chi=0.633	True	1	0.1247786074920394	0.124172476015749	0.9951423446015851
